"","ISO2","region","date","p_rf","NA"
"1","ES","Andalucía","2022-02-16","0.100141043723554",0
"2","ES","Aragón","2022-02-16","0.127190503109101",0
"3","ES","Cantabria","2022-02-15","0.131645569620253",0
"4","ES","Castilla y León","2022-02-15","0.113326337880378",0
"5","ES","Castilla-La Mancha","2022-02-16","0.130575307045895",0
"6","ES","Cataluña","2022-02-16","0.1199207135778",0
"7","ES","Ceuta y Melilla","2022-02-15","0.137351086194814",0
"8","ES","Comunidad Foral de Navarra","2022-02-16","0.0858283433133733",0
"9","ES","Comunidad Valenciana","2022-02-16","0.110058637798827",0
"10","ES","Comunidad de Madrid","2022-02-16","0.102369668246446",0
"11","ES","Extremadura","2022-02-15","0.146451612903226",0
"12","ES","Galicia","2022-02-16","0.106175033318525",0
"13","ES","Islas Baleares","2022-02-16","0.115857226448215",0
"14","ES","Islas Canarias","2022-02-15","0.0872540633019675",0
"15","ES","La Rioja","2021-12-21","0.00889192886456908",0
"16","ES","País Vasco","2022-02-15","0.128358208955224",0
"17","ES","Principado de Asturias","2022-02-16","0.10390355912744",0
"18","ES","Región de Murcia","2022-02-15","0.131378935939197",0
"19","ES","La Rioja (Spain)","2022-02-15","0.115254237288136",0
